KODE_PRASYARAT,KODE_LANJUTAN
ET234103,ET234203
ET234103,ET234305
ET234103,ET234204
ET234103,ET234303
ET234102,ET234201
ET234102,ET234303
SM234101,SM234201
SF234204,ET234303
ET234101,ET234404
ET234101,ET234405
ET234101,ET234501
EE234101,ET234202
EE234101,ET234306
EE234101,ET234301
ET234201,ET234301
ET234201,ET234302
ET234201,ET234403
ET234306,ET234302
ET234306,ET234303
ET234306,ET234403
ET234203,ET234405
ET234203,ET234404
ET234203,ET234305
ET234204,ET234305
ET234204,ET234404
ET234204,ET234406
ET234204,ET234403
ET234202,ET234406
ET234104,ET234304
ET234104,ET234301
ET234301,ET234401
ET234301,ET234402
ET234301,ET234501
ET234302,ET234401
ET234302,ET234402
ET234302,ET234501
SM234201,ET234405
ET234305,ET234406
ET234304,ET234401
ET234403,ET234404
ET234303,ET234406
